1,2,6,5,4,3,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Tireless Tracker,Delver of Secrets,"Edric, Spymaster of Trest",Domri Rade,"Jace, Vryn's Prodigy","Tezzeret, Agent of Bolas",Arid Mesa,Tinker,Tarmogoyf,Nevinyrral's Disk,Panharmonicon,"Thalia, Guardian of Thraben",Delver of Secrets,"Venser, Shaper Savant",Temple of Epiphany,Brimstone Volley,Spear of Heliod,Firebolt,Thirst for Knowledge,Fauna Shaman,Legion's Landing,Stormblood Berserker,Pia Nalaar,Necromancy,Balance,Garruk Wildspeaker,Delver of Secrets,Blood Crypt,Ghost Quarter,Dark Ritual,Spellskite,"Brimaz, King of Oreskos",Windswept Heath,"Chandra, Torch of Defiance",Rakdos Cackler,Rancor,Verdurous Gearhulk,Toolcraft Exemplar,Myr Battlesphere,Deranged Hermit,Booster Tutor,Batterskull,Ultimate Price,Shrine of Burning Rage,"Brimaz, King of Oreskos",Knight of Autumn,Fyndhorn Elves,Thran Dynamo,Academy Ruins,Animate Dead,War-Name Aspirant
Kodama's Reach,Electrolyze,Birds of Paradise,"Xenagos, the Reveler",Jace Beleren,Sword of War and Peace,Lingering Souls,Splinter Twin,Vizier of the Menagerie,Birthing Pod,Cultivate,Parallax Wave,"Thalia, Heretic Cathar",Maze of Ith,Watery Grave,Zurgo Bellstriker,Flame Rift,Pia Nalaar,Temple of Mystery,Survival of the Fittest,Skullclamp,Shrine of Burning Rage,Zurgo Bellstriker,Terastodon,Qasali Pridemage,Lotus Cobra,True-Name Nemesis,Lightning Strike,Temple of Abandon,Control Magic,Dimir Signet,Panharmonicon,Verdant Catacombs,Thundermaw Hellkite,Rishadan Port,Beast Within,Secure the Wastes,Frantic Search,Ravenous Chupacabra,Lightning Bolt,Nevinyrral's Disk,Soulfire Grand Master,Anguished Unmaking,Fiend Hunter,Knight of Autumn,Glory-Bound Initiate,Eternal Witness,Dauntless Bodyguard,Zealous Conscripts,Dimir Signet,Kolaghan's Command
Solemn Simulacrum,Shrine of Burning Rage,Breeding Pool,Stormblood Berserker,"Jace, the Mind Sculptor",Myr Battlesphere,Vryn Wingmare,Bomat Courier,Fyndhorn Elves,Necromancy,Regrowth,Beast Within,Mana Tithe,Academy Ruins,Shriekmaw,Asylum Visitor,Archangel of Thune,"Rishkar, Peema Renegade",Ponder,Entomb,Mother of Runes,Sacred Foundry,Blood Crypt,Verdurous Gearhulk,Accorder Paladin,Sensei's Divining Top,Sower of Temptation,Kolaghan's Command,Yavimaya Elder,Animate Dead,Inkwell Leviathan,Isochron Scepter,Thoughtseize,Mogg War Marshal,Go for the Throat,Craterhoof Behemoth,Mana Tithe,Brainstorm,"Brimaz, King of Oreskos","Rishkar, Peema Renegade",Hypnotic Specter,Blade Splicer,The One Ring,Boros Charm,Legion's Landing,Dark Confidant,"Rishkar, Peema Renegade",Sower of Temptation,Phyrexian Metamorph,Doom Blade,"Kari Zev, Skyship Raider"
Demonic Tutor,Murderous Redcap,Harrow,Tooth and Nail,"Sorin, Lord of Innistrad",Hostage Taker,Thraben Inspector,Show and Tell,Bloodbraid Elf,Crucible of Worlds,Llanowar Elves,Joraga Treespeaker,Spire of Industry,Jace Beleren,Reflector Mage,Thundermaw Hellkite,Hallowed Fountain,Lotus Cobra,"Nissa, Vastwood Seer",Buried Alive,Restoration Angel,Goblin Rabblemaster,Spire of Industry,Hornet Queen,Voice of Resurgence,Reclamation Sage,Deceiver Exarch,Pia Nalaar,Courser of Kruphix,Necromancy,Stifle,Sword of Fire and Ice,Upheaval,Burst Lightning,Mind Twist,Fauna Shaman,Voice of Resurgence,Consecrated Sphinx,Ophiomancer,Den Protector,"Kalitas, Traitor of Ghet",Hangarback Walker,Balance,Chain Lightning,Arid Mesa,Overgrown Tomb,Rampant Growth,Geist of Saint Traft,Ponder,Go for the Throat,Pia and Kiran Nalaar
Survival of the Fittest,Hellspark Elemental,Lotus Cobra,Lightning Bolt,Mind Twist,Basalt Monolith,Secure the Wastes,Pestermite,Duskwatch Recruiter,Thoughtseize,Fauna Shaman,Tireless Tracker,Faith's Fetters,Sower of Temptation,"Jace, Vryn's Prodigy",Terminate,Idyllic Beachfront,Oath of Druids,Inkwell Leviathan,Bloodstained Mire,Recurring Nightmare,Everflowing Chalice,Flametongue Kavu,Ophiomancer,Wall of Roots,Sword of Light and Shadow,Hallowed Fountain,City of Brass,Joraga Treespeaker,Dismember,Dread Wanderer,Archangel of Thune,Sword of Fire and Ice,Fiery Confluence,Booster Tutor,Llanowar Elves,Fyndhorn Elves,Temple Garden,Indomitable Archangel,Rampant Growth,Stifle,Goblin Welder,Sensei's Divining Top,Lightning Helix,Hexdrinker,Knight of the Reliquary,Harrow,Timeless Dragon,"Purphoros, God of the Forge",Baleful Strix,Kitesail Freebooter
Rishadan Port,Steam Vents,Sower of Temptation,Joraga Treespeaker,Blood Artist,Duress,Fairgrounds Warden,Myr Battlesphere,Harrow,Hypnotic Specter,Imposing Sovereign,Balance,Silverblade Paladin,Cyclonic Rift,Necromancy,Mardu Strike Leader,Temple of Silence,Myr Battlesphere,Reclamation Sage,Scroll Rack,Shriekmaw,Siege-Gang Commander,Pia and Kiran Nalaar,Inquisition of Kozilek,Temple of Plenty,"Rofellos, Llanowar Emissary",Serum Visions,Falkenrath Pit Fighter,Tooth and Nail,Counterspell,Skullclamp,"Elspeth, Knight-Errant",Thragtusk,Lightning Strike,Languish,Sylvan Caryatid,Woodfall Primus,Show and Tell,Witch-king of Angmar,Elvish Reclaimer,Phantasmal Image,Spellskite,Wasteland,Siege-Gang Commander,Sylvan Caryatid,Temple of Plenty,Craterhoof Behemoth,Consecrated Sphinx,Splinter Twin,Frantic Search,Temple of Malady
Duplicant,Looter il-Kor,Fyndhorn Elves,"Rofellos, Llanowar Emissary",Nevinyrral's Disk,Faith's Fetters,Porcelain Legionnaire,Scroll Rack,Natural Order,Grave Titan,Lightning Greaves,Oblivion Ring,Enlightened Tutor,Dig Through Time,"Tasigur, the Golden Fang",Legion Warboss,Selfless Spirit,Harmonize,Duskwatch Recruiter,Griselbrand,Maze of Ith,Day of Judgment,Terminate,Skinrender,Oblivion Ring,Craterhoof Behemoth,Fairgrounds Warden,Mardu Strike Leader,Natural Order,Force of Negation,Bonesplitter,Disenchant,Gifts Ungiven,Lightning Bolt,Sword of Light and Shadow,Eternal Witness,Wall of Blossoms,"Isamaru, Hound of Konda",Selfless Spirit,Stomping Ground,Miscalculation,Stoneforge Mystic,Hero of Bladehold,"Laelia, the Blade Reforged",Monastery Mentor,Polluted Delta,Natural Order,Azorius Signet,Izzet Signet,Recurring Nightmare,Faithless Looting
Skullclamp,Koth of the Hammer,Woodfall Primus,Huntmaster of the Fells,Raise the Alarm,Azorius Signet,Spear of Heliod,Simic Signet,Arc Trail,Living Death,Grafted Wargear,Selfless Spirit,Buried Ruin,Batterskull,Bloodsoaked Champion,Sword of Light and Shadow,Mortify,Bloodbraid Elf,Harrow,Flooded Strand,Solemn Simulacrum,Lightning Helix,Burst Lightning,Scavenging Ooze,Thraben Inspector,Nevinyrral's Disk,Hero of Bladehold,Smuggler's Copter,Splinter Twin,Remand,"Karn, Scion of Urza","Thalia, Heretic Cathar",Toxic Deluge,Fireblast,Engineered Explosives,Acidic Slime,Joraga Treespeaker,Ponder,Duplicant,Garruk Relentless,Force of Negation,Grafted Wargear,Demonic Tutor,Sulfuric Vortex,Temple of Plenty,Godless Shrine,Kodama's Reach,Temple of Enlightenment,"Kiki-Jiki, Mirror Breaker",Show and Tell,Sundering Titan
Reclamation Sage,Guttersnipe,Force of Negation,Sprout Swarm,Baneslayer Angel,Baleful Strix,Grafted Wargear,Hangarback Walker,Harmonize,Dark Ritual,Qasali Pridemage,Armageddon,Force of Negation,Scroll Rack,Exhume,"Chandra, Torch of Defiance",Imposing Sovereign,Wooded Foothills,Trygon Predator,Batterskull,"Paliano, the High City",Blade Splicer,"Kari Zev, Skyship Raider",Rampant Growth,Windswept Heath,Thragtusk,Daze,Bloodstained Mire,Cultivate,Go for the Throat,"Jace, the Mind Sculptor","Thalia, Guardian of Thraben",Birds of Paradise,"Kiki-Jiki, Mirror Breaker",Worn Powerstone,Hornet Queen,Garruk Wildspeaker,Oblivion Ring,Accorder Paladin,Verdant Catacombs,Bloodghast,Pia Nalaar,Wrath of God,Fairgrounds Warden,"Elspeth, Sun's Champion",Verdant Catacombs,"Nissa, Vastwood Seer",Imposing Sovereign,"Chandra, Torch of Defiance",Solemn Simulacrum,Sneak Attack
Recurring Nightmare,Sulfuric Vortex,Rampant Growth,Mizzium Mortars,Doom Blade,Selesnya Signet,Journey to Nowhere,Izzet Charm,Eternal Witness,Darksteel Ingot,Primeval Titan,Maze of Ith,Idyllic Beachfront,Deep Analysis,Bloodgift Demon,Chainer's Edict,Damnation,Beast Within,"Nissa, Steward of Elements",Mystical Tutor,Hypnotic Specter,Thran Dynamo,Rakdos Signet,Gutterbones,Armageddon,Arbor Elf,"Thalia, Guardian of Thraben",Bloodsoaked Champion,Faithless Looting,Hypnotic Specter,Tezzeret the Seeker,Lightning Greaves,Swan Song,Firebolt,Nevinyrral's Disk,Primeval Titan,"Polukranos, World Eater",Hero of Bladehold,Grave Titan,Llanowar Elves,Reanimate,Sword of Fire and Ice,Wall of Omens,Mother of Runes,Garruk Wildspeaker,Sram's Expertise,"Rofellos, Llanowar Emissary",Phantasmal Image,Dack Fayden,"Venser, Shaper Savant",Liliana of the Veil
