PlayerName,Deck ID,PlayerId,Color Identity,Theme,Classification,Wins,Winrate,Games Played,Date
John,1,1,BG,Recurring,Midrange,1,0.17,6,12/18/22
Johnny,2,2,UR,Spellslinger,Aggro,2,0.50,4,12/18/22
Billy,3,5,WUB,Artifacts,Control,2,0.33,6,12/18/22
Shane,4,13,WUB,Control,Control,2,0.40,5,12/18/22
Gretchen,5,3,RG,Stompy,Midrange,4,0.67,6,12/18/22
Zeth,6,14,UG,Ramp,Midrange,4,0.67,6,12/18/22
Tini,7,15,W,Weanie,Aggro,4,0.80,5,12/18/22
John,8,1,UR,Twin Tinker,Combo,5,1.00,5,12/31/23
Johnny,9,2,RG,Stompy,Midrange,3,0.75,4,12/31/23
Izzy,10,4,B,Reanimator,Combo,2,0.50,4,12/31/23
Billy,11,5,WUG,Shit Pile,???,0,0.00,3,12/31/23
Sky,12,11,WU,Aggro,Aggro,1,0.33,3,12/31/23
Tyler,13,6,WUG,Tempo,Midrange,1,0.25,4,12/31/23
John,14,1,U,Control,Control,2,0.50,4,1/5/24
Izzy,15,4,WUBR,Reanimator,Midrange/Combo,1,0.25,4,1/5/24
Alex,16,8,BR,Aggro,Aggro,4,1.00,4,1/5/24
Mack,17,10,WBR,Midrange,Midrange,0,0.00,3,1/5/24
Tay,18,9,RG,Midrange,Midrange,4,0.80,5,1/5/24
Tyler,19,6,UG,Tempo,Midrange,1,0.25,4,1/5/24
John,20,1,UBG,Reanimator,Combo,0,0.00,5,11/15/24
Johnny,21,2,WBR,Midrange,Midrange,4,0.67,6,11/15/24
Izzy,22,4,WR,Midrange,Midrange,2,0.50,4,11/15/24
Billy,23,5,BR,Aggro ,Aggro,4,0.67,6,11/15/24
Tyler,24,6,BG,Midrange,Midrange,2,0.33,6,11/15/24
Sky,25,11,WG,Midrange,Midrange,1,0.25,4,11/15/24
Nate,26,12,G,Ramp,Midrange,3,0.50,6,11/15/24
Bruce,27,7,WU,Tempo Control,Control,5,1.00,5,11/15/24
John,28,1,BR,Aggro,Aggro,4,1,4,5/15/25
Johnny,29,2,RG,Midrange,Midrange,1,0.33,3,5/15/25
Bruce,30,7,UB,Control,Control,3,0.75,4,5/15/25
Izzy,31,4,UB,Control,Control,0,0,3,5/15/25
Nate,32,12,W,Midrange,Midrange,1,0.25,4,5/15/25
John,33,1,UBG,Control,Control,1,0.25,4,5/23/25
Johnny,34,2,R,Aggro,Aggro,5,1,5,5/23/25
Nate,35,12,B,Midrange,Midrange,4,0.8,5,5/23/25
Izzy,36,4,RG,Midrange Ramp,Midrange,1,0.25,4,5/23/25
Bruce,37,7,WG,Midrange,Midrange,2,0.5,4,5/23/25
Tyler,38,6,WU,Tempo,Midrange,1,0.33,3,5/23/25
Matt,39,16,WB,Midrange,Midrange,0,0.00,2,5/23/25
John,40,1,RG,Midrange,Midrange,3,1.00,3,6/5/25
Johnny,41,2,UB,Reanimator Control,Control,1,0.50,2,6/5/25
Nate,42,12,WUR,Artifact midrange,Midrange,2,0.67,3,6/5/25
Izzy,43,4,WB,BW midrange,Midrange,1,0.33,3,6/5/25
Bruce,44,7,WR,Boros aggro,Aggro,1,0.25,4,6/5/25
Tyler,45,6,WG,WG midrange,Midrange,1,0.33,3,6/5/25
